City,Country,Date,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Wind_Speed
Lima,Peru,2018-02-22,109.1,71.1,135.2,1.48,11.8,38.2,11.3,9.7,82.1,4.4
Tehran,Iran,2015-01-05,176.3,80.8,128.3,3.59,22.5,28.0,25.9,27.2,23.1,6.3
Berlin,Germany,2017-12-17,37.5,15.9,20.9,4.82,10.0,61.8,3.4,,31.7,4.1
Lima,Peru,2018-02-15,103.4,50.0,98.5,3.77,21.8,56.7,9.5,6.1,46.7,11.5
Ho Chi Minh City,Vietnam,2024-03-10,168.0,73.0,97.3,0.49,45.5,62.2,16.4,-0.6,56.9,7.4
Delhi,India,2024-02-08,120.2,70.3,122.6,0.51,21.0,57.6,12.1,33.5,69.4,2.9
Bangkok,Thailand,2015-12-02,61.0,36.2,47.7,3.05,17.6,54.5,5.4,23.9,54.4,8.4
Karachi,Pakistan,2018-07-15,183.2,123.0,176.8,0.63,22.0,21.1,10.9,25.7,25.3,5.1
Seoul,South Korea,2023-04-06,81.7,33.3,,1.62,10.1,61.8,9.2,34.5,75.1,12.2
Ho Chi Minh City,Vietnam,2016-11-06,146.6,94.1,187.6,2.24,25.6,66.6,12.3,36.9,84.4,6.7
Los Angeles,USA,2021-05-15,33.7,21.1,29.0,,6.8,69.6,2.8,35.3,49.2,0.7
Chengdu,China,2015-03-17,171.8,103.6,169.6,2.62,20.0,25.5,18.9,19.9,36.0,14.2
Sydney,Australia,2022-03-01,31.3,13.6,26.5,4.88,9.4,23.4,3.9,19.6,72.9,14.5
Chengdu,China,2023-08-12,162.7,106.0,169.4,1.35,29.2,73.5,10.5,18.1,37.5,8.9
Los Angeles,USA,2020-01-31,57.5,38.2,56.0,4.57,12.6,41.0,6.9,16.7,48.3,10.7
Wuhan,China,2020-02-25,138.3,65.8,104.3,2.99,34.3,66.0,18.3,28.5,71.1,3.9
Ho Chi Minh City,Vietnam,2018-04-29,73.7,40.1,54.4,2.78,13.8,68.1,10.9,20.0,44.2,1.1
Nairobi,Kenya,2015-07-22,75.0,45.6,61.7,1.08,10.7,37.7,11.2,26.4,48.8,11.2
Mexico City,Mexico,2017-11-01,118.6,81.5,109.3,2.15,14.4,40.1,7.9,24.1,49.1,3.8
São Paulo,Brazil,2022-08-11,40.2,21.6,28.5,,7.3,56.2,3.1,1.0,25.7,14.1
Berlin,Germany,2015-09-13,18.9,10.8,21.1,0.69,5.2,53.1,1.3,13.5,78.3,7.5
Paris,France,2021-02-02,89.2,46.2,86.8,2.97,10.0,22.2,5.7,-4.4,25.7,10.5
Karachi,Pakistan,2019-07-27,149.7,104.6,176.7,3.91,43.2,71.0,11.2,15.3,29.7,14.3
Los Angeles,USA,2019-01-09,65.1,26.9,40.1,0.4,13.0,48.6,8.7,8.8,81.2,14.5
Lima,Peru,2017-02-01,89.8,46.8,65.2,0.44,22.6,57.2,10.8,4.6,30.2,0.7
Cairo,Egypt,2018-08-22,78.1,41.5,80.2,1.94,15.8,67.0,7.0,,84.7,14.3
Dhaka,Bangladesh,2015-05-18,218.3,148.0,243.4,1.51,41.9,78.8,21.7,9.8,67.5,4.0
Berlin,Germany,2020-11-28,9.0,4.5,8.7,2.53,2.1,30.3,0.6,-3.2,32.7,4.5
Buenos Aires,Argentina,2022-01-25,79.6,34.0,47.0,2.47,11.2,41.9,8.0,26.1,22.9,12.1
Ho Chi Minh City,Vietnam,2021-03-11,155.5,97.1,138.8,1.28,27.1,49.1,17.4,11.6,54.7,11.3
London,UK,2022-07-09,26.4,12.6,22.6,4.51,5.3,51.9,1.6,15.1,59.9,4.0
Ho Chi Minh City,Vietnam,2019-07-13,124.4,61.8,89.5,,15.4,73.4,13.6,25.6,79.2,7.7
Paris,France,2021-03-25,46.6,26.1,44.7,3.8,8.7,27.7,3.6,11.3,68.4,8.8
Bangkok,Thailand,2021-06-20,100.8,47.5,65.1,1.02,15.0,29.6,6.9,,,13.5
Johannesburg,South Africa,2023-01-25,93.8,52.3,83.0,4.92,11.5,43.9,13.8,33.9,81.3,4.2
Bangkok,Thailand,2020-07-14,115.8,65.7,111.7,1.62,29.4,31.2,9.5,14.1,58.1,4.0
Paris,France,2020-08-10,54.2,31.6,47.5,3.03,7.1,48.9,5.6,,45.2,2.4
Johannesburg,South Africa,2019-08-01,71.9,,79.7,3.1,14.0,44.7,6.1,36.8,82.3,14.5
London,UK,2020-03-23,67.8,42.0,82.2,1.15,7.7,64.5,7.3,32.9,30.5,12.0
London,UK,2020-01-26,35.4,22.8,40.3,2.76,6.1,72.6,3.2,31.7,52.9,6.0
Berlin,Germany,2021-10-05,32.4,18.2,29.3,3.01,5.5,43.5,3.3,-2.0,37.2,8.4
Cairo,Egypt,2019-07-28,166.4,101.2,143.4,4.43,33.1,64.5,17.9,39.9,,10.8
Istanbul,Turkey,2017-08-08,68.6,30.4,43.8,3.66,13.6,65.3,4.1,19.1,48.4,7.1
Stockholm,Sweden,2020-08-24,16.7,7.8,14.1,3.68,3.8,61.6,1.7,6.3,45.9,3.1
Wuhan,China,2022-12-29,171.3,98.5,155.7,2.47,49.6,29.2,18.6,17.8,65.9,0.8
São Paulo,Brazil,2022-06-23,83.3,50.7,98.7,3.62,10.9,54.6,9.2,14.1,75.2,14.0
Lagos,Nigeria,2022-09-27,131.8,70.5,97.3,4.93,35.3,27.5,18.7,34.1,58.9,9.1
Nairobi,Kenya,2024-08-03,75.3,48.2,62.9,1.87,13.5,52.2,10.7,10.6,46.0,11.2
Tokyo,Japan,2022-05-11,47.2,22.1,35.7,0.96,6.4,49.9,4.3,36.2,47.2,8.9
Lagos,Nigeria,2022-06-06,101.9,43.4,86.7,2.66,22.3,24.0,12.7,4.4,87.4,3.5
Buenos Aires,Argentina,2024-03-30,31.8,13.1,21.3,2.95,3.6,66.5,3.0,18.6,53.1,6.3
Cairo,Egypt,2017-08-04,119.7,78.8,154.7,2.05,18.5,58.6,10.9,-3.9,31.7,10.9
Buenos Aires,Argentina,2023-06-07,53.9,22.0,32.0,1.39,12.6,21.2,3.3,31.0,33.4,10.0
Paris,France,2018-07-11,40.8,25.2,47.8,,7.3,60.1,2.9,8.2,87.2,0.7
Jakarta,Indonesia,2021-01-07,108.8,71.2,98.6,4.42,24.9,62.2,15.3,23.1,45.2,12.5
Lahore,Pakistan,2016-04-15,205.6,104.6,199.0,,60.6,66.8,12.6,20.5,93.9,7.3
Tokyo,Japan,2023-09-22,39.9,22.1,40.2,3.58,7.2,33.1,4.6,14.0,29.9,13.6
Beijing,China,2017-03-15,165.9,80.0,135.0,3.36,44.1,32.4,8.5,1.2,87.5,13.2
Mumbai,India,2016-09-01,150.6,87.4,154.3,1.12,42.6,45.1,13.3,,23.5,2.9
Mexico City,Mexico,2022-11-06,114.4,48.1,90.7,2.35,32.4,63.3,12.7,37.7,49.7,14.3
Lagos,Nigeria,2020-10-17,103.3,56.3,83.9,2.84,13.7,70.5,13.9,38.0,31.6,9.5
Beijing,China,2019-03-05,122.0,63.9,114.6,,23.4,24.6,7.0,-4.9,92.6,0.6
Tehran,Iran,2021-05-11,100.1,49.5,92.3,4.82,25.8,61.4,10.2,-1.1,91.9,11.5
Nairobi,Kenya,2023-08-19,118.6,77.6,,2.6,17.1,79.3,17.1,-3.2,72.9,13.9
Johannesburg,South Africa,2019-12-23,121.9,69.5,134.9,0.46,,37.8,17.4,38.7,90.8,7.4
Lima,Peru,2021-08-16,61.0,39.6,52.5,3.1,8.9,27.2,3.5,26.3,45.5,11.0
Tehran,Iran,2015-02-08,166.6,82.4,138.2,4.02,27.3,57.6,23.1,22.7,37.5,0.9
Wuhan,China,2016-06-29,181.4,116.0,231.9,1.95,46.0,44.1,17.8,23.2,85.5,14.8
Wuhan,China,2023-02-21,161.4,84.8,135.2,3.77,23.8,26.6,13.8,7.9,42.2,3.9
Ho Chi Minh City,Vietnam,2016-03-07,72.0,43.5,63.2,4.76,18.5,25.4,6.6,34.6,,7.3
Los Angeles,USA,2021-03-23,18.8,8.5,16.9,1.39,5.4,59.0,2.1,,37.3,3.1
Seoul,South Korea,2017-07-25,101.7,51.3,68.8,4.85,28.1,75.7,15.2,2.8,49.7,11.5
Lima,Peru,2023-10-22,56.3,25.1,47.0,1.35,8.2,52.2,6.2,21.1,26.9,13.2
Lahore,Pakistan,2022-05-06,186.3,105.3,143.3,2.22,32.5,35.6,22.8,17.3,26.1,3.7
Los Angeles,USA,2017-03-06,87.5,37.0,70.1,2.63,17.2,55.5,11.6,10.7,70.9,8.7
Los Angeles,USA,2018-08-05,62.2,37.2,70.4,4.38,15.0,70.2,7.4,25.6,66.4,11.4
Jakarta,Indonesia,2020-12-20,129.2,85.8,163.9,0.44,34.3,27.7,10.8,28.5,32.1,12.4
London,UK,2016-08-11,38.2,18.6,32.2,4.91,8.7,35.6,4.3,19.3,78.5,2.1
Lima,Peru,2024-08-27,75.1,42.2,,1.91,17.0,75.9,4.5,37.2,71.6,1.5
Istanbul,Turkey,2021-02-17,84.1,48.3,74.5,3.22,9.2,72.3,12.4,38.6,76.2,2.4
Buenos Aires,Argentina,2021-11-12,70.2,28.6,37.6,1.82,13.9,66.2,8.3,15.1,40.5,15.0
Tokyo,Japan,2023-09-06,23.1,14.8,26.3,1.34,2.7,60.8,2.7,7.3,91.3,2.7
São Paulo,Brazil,2017-09-15,74.7,51.0,81.3,3.3,13.4,36.5,11.1,13.4,87.1,3.8
Buenos Aires,Argentina,2023-11-09,67.2,34.3,65.4,2.52,19.7,31.1,9.2,29.9,77.8,12.7
Stockholm,Sweden,2021-02-24,23.1,13.6,18.9,0.45,6.6,57.0,3.0,16.7,28.8,2.3
Tehran,Iran,2020-02-19,99.3,54.3,73.1,3.04,15.3,67.9,8.0,15.5,20.9,1.6
Toronto,Canada,2018-10-21,30.5,21.1,38.1,3.39,7.7,77.2,4.3,27.6,76.2,2.6
Tehran,Iran,2023-01-15,130.3,71.0,102.7,1.93,33.2,76.5,7.5,19.0,86.2,1.7
Los Angeles,USA,2020-12-03,56.4,28.6,43.7,4.89,7.9,61.6,7.5,-3.1,70.3,14.3
Buenos Aires,Argentina,2020-06-09,71.3,41.7,72.1,1.7,20.5,76.8,8.0,30.3,65.9,7.5
Mexico City,Mexico,2018-01-12,136.4,77.2,132.6,3.98,26.8,22.4,9.1,14.7,74.4,9.1
Tehran,Iran,2023-02-04,211.1,105.3,171.5,3.8,57.9,46.0,11.5,2.3,21.6,10.0
Karachi,Pakistan,2024-05-16,157.3,,145.6,0.68,28.4,33.2,14.4,4.2,83.0,3.0
Nairobi,Kenya,2015-06-08,113.9,67.1,121.7,3.91,22.9,52.6,11.6,21.5,22.2,6.2
Dhaka,Bangladesh,2022-03-10,166.8,96.6,179.2,3.38,49.8,37.0,14.3,12.3,54.9,12.6
Delhi,India,2022-12-24,165.7,96.2,167.7,2.05,33.6,44.8,9.4,14.7,27.3,6.4
London,UK,2016-05-18,86.6,49.7,87.7,0.75,20.0,38.7,7.8,33.6,20.7,9.0
Tehran,Iran,2015-10-28,117.0,77.8,125.2,1.86,22.2,60.2,7.6,15.2,64.1,14.3
Ho Chi Minh City,Vietnam,2016-07-29,107.2,54.4,,3.15,18.4,52.0,13.7,26.7,53.5,13.0
Cairo,Egypt,2016-09-11,114.5,79.7,110.5,1.39,12.6,58.4,8.3,,26.6,2.0
Berlin,Germany,2018-05-14,43.3,26.3,41.5,2.56,10.3,21.0,3.6,38.8,63.5,4.2
Mexico City,Mexico,2023-11-24,122.8,53.8,74.9,0.97,35.4,64.0,8.1,3.5,74.8,2.8
Cairo,Egypt,2016-05-31,67.4,46.4,68.6,3.41,19.9,42.5,3.5,6.0,82.3,13.0
Tokyo,Japan,2016-08-10,65.9,44.6,76.7,4.72,17.5,60.0,7.1,,31.9,9.3
Chengdu,China,2023-11-07,152.2,79.5,151.7,3.98,32.5,64.3,21.0,13.2,44.5,10.2
Cairo,Egypt,2024-09-23,151.6,80.5,150.7,0.86,31.7,20.3,12.5,11.5,49.7,10.6
São Paulo,Brazil,2022-04-06,99.1,53.0,77.7,2.05,,24.4,10.9,25.1,66.5,7.2
Lahore,Pakistan,2020-11-02,171.8,93.4,123.1,1.9,30.2,43.9,18.6,19.0,65.6,11.6
Cairo,Egypt,2021-12-20,163.8,100.7,167.6,4.17,30.5,73.8,9.4,38.0,69.1,6.0
Dhaka,Bangladesh,2017-02-27,133.1,59.9,103.7,2.76,31.1,75.8,13.7,21.1,26.7,10.9
Beijing,China,2022-03-21,157.1,82.4,114.1,1.15,37.1,30.9,16.1,26.9,,8.7
Wuhan,China,2017-08-09,159.4,102.3,172.4,0.5,36.1,77.1,17.6,31.9,86.3,3.8
Chengdu,China,2019-12-12,176.6,103.0,163.5,4.25,49.4,41.2,13.0,30.1,40.6,12.4
São Paulo,Brazil,2023-11-13,59.8,35.1,56.7,3.06,8.0,64.2,8.1,4.8,27.2,0.8
Paris,France,2021-10-02,56.4,32.8,55.2,1.39,10.0,55.7,5.6,39.5,30.2,10.6
Lahore,Pakistan,2019-04-27,220.3,133.9,267.0,0.9,26.6,63.5,23.8,7.3,26.0,1.7
Delhi,India,2020-04-06,163.4,85.0,132.4,1.91,36.5,46.5,21.8,25.1,25.2,9.8
Mumbai,India,2024-01-15,230.7,108.3,175.3,1.19,,42.7,19.9,39.8,53.5,5.3
Lagos,Nigeria,2019-01-05,136.1,93.6,133.1,3.54,19.1,52.1,8.1,15.3,76.7,5.5
Tehran,Iran,2023-04-16,69.9,30.5,60.4,0.39,17.3,66.1,5.2,25.2,27.0,4.2
Mumbai,India,2019-11-02,165.0,108.8,187.8,2.68,21.8,23.8,10.2,5.2,45.6,6.0
Beijing,China,2020-07-03,161.8,104.8,156.7,4.73,44.4,29.7,20.8,20.9,62.5,6.2
Tehran,Iran,2024-01-24,91.7,47.6,79.9,3.25,21.5,51.9,11.2,1.4,35.9,12.4
Paris,France,2018-11-29,69.4,39.7,65.0,1.77,15.3,28.4,9.7,32.3,43.8,14.3
Cairo,Egypt,2017-11-14,133.6,80.1,111.0,2.55,26.9,34.0,7.7,30.0,29.2,9.1
London,UK,2024-11-12,16.8,10.0,14.5,3.21,3.9,29.1,0.9,30.1,54.5,1.3
Mexico City,Mexico,2016-11-20,105.7,44.1,78.8,4.92,15.6,28.5,6.6,8.6,27.6,10.5
São Paulo,Brazil,2016-08-31,84.8,54.6,94.6,1.74,19.1,51.6,7.9,0.9,86.5,7.0
Buenos Aires,Argentina,2021-12-05,65.1,33.2,52.8,4.19,16.1,66.2,3.3,13.7,56.1,0.8
Paris,France,2022-06-01,31.6,17.7,25.7,0.36,4.7,78.6,4.1,38.2,56.6,2.1
São Paulo,Brazil,2021-09-08,91.8,49.2,93.1,0.76,18.1,29.0,7.6,28.2,55.7,6.0
Stockholm,Sweden,2020-05-02,74.1,49.5,,4.0,12.1,61.3,7.0,6.5,83.1,1.1
São Paulo,Brazil,2021-03-29,73.7,39.7,69.3,3.4,20.6,58.2,8.2,-2.0,58.9,2.7
Tehran,Iran,2021-11-01,121.9,50.1,91.4,3.4,31.7,26.3,6.5,17.9,49.1,7.2
Dhaka,Bangladesh,2019-08-02,172.7,119.4,234.0,3.98,29.5,44.7,18.1,32.4,25.2,6.7
Paris,France,2017-09-18,76.5,48.5,70.8,4.89,17.9,20.6,5.8,6.7,25.2,14.4
Johannesburg,South Africa,2015-07-09,91.0,60.9,92.9,0.89,17.7,26.8,9.0,36.4,59.1,9.4
Beijing,China,2016-06-06,135.1,69.3,116.8,2.13,17.9,36.4,19.3,25.4,57.2,0.7
Nairobi,Kenya,2020-12-09,86.1,55.5,105.6,4.28,24.4,35.1,10.8,15.7,83.1,11.1
Jakarta,Indonesia,2016-10-24,88.8,50.1,99.6,4.71,9.7,29.9,5.6,27.7,81.3,3.6
Berlin,Germany,2018-12-01,57.1,37.2,67.5,2.85,12.4,50.5,4.6,20.4,71.7,13.2
Paris,France,2018-07-28,29.3,15.8,20.6,1.46,7.2,79.5,1.8,13.1,80.0,3.5
Wuhan,China,2018-11-29,174.3,108.1,187.1,1.18,29.8,67.0,18.4,-4.8,77.1,1.0
Tokyo,Japan,2020-06-20,16.5,7.3,11.1,4.42,4.9,42.1,1.6,27.5,86.5,9.1
Karachi,Pakistan,2019-02-01,136.8,54.8,78.1,0.44,18.2,30.9,12.1,13.1,85.6,7.9
Lahore,Pakistan,2015-12-02,192.0,79.9,131.0,3.12,42.3,21.4,15.8,23.6,31.2,10.6
Tehran,Iran,2016-06-25,110.2,76.5,110.7,4.18,22.5,42.4,6.9,28.1,37.7,5.9
Tokyo,Japan,2022-09-11,78.5,48.7,73.5,1.12,17.9,49.8,5.3,25.9,94.3,11.3
Jakarta,Indonesia,2020-12-24,140.9,96.6,139.2,,41.7,29.9,16.9,21.4,64.0,10.6
Istanbul,Turkey,2020-03-15,82.7,42.4,68.8,2.56,15.5,76.2,10.0,23.4,23.7,13.6
Lahore,Pakistan,2016-10-02,185.9,117.8,153.8,0.57,27.0,27.9,16.7,36.5,55.4,0.7
Bangkok,Thailand,2017-05-25,71.4,45.4,90.0,2.04,13.3,70.7,5.5,2.0,84.0,1.2
Toronto,Canada,2021-04-16,11.4,6.5,10.0,1.78,2.9,25.2,0.8,28.0,61.1,2.4
Sydney,Australia,2021-02-24,69.8,44.4,77.1,2.62,20.7,28.7,8.6,3.6,45.4,5.0
Nairobi,Kenya,2016-01-19,68.7,47.4,67.7,0.4,16.8,45.1,4.0,25.8,60.9,14.7
Buenos Aires,Argentina,2024-05-18,95.4,60.8,102.4,3.18,13.8,70.8,8.9,1.3,69.8,3.6
Wuhan,China,2015-04-08,91.5,60.2,97.7,3.82,14.5,67.2,5.6,11.0,93.4,12.0
Tokyo,Japan,2017-08-17,85.3,48.0,88.0,3.84,8.8,27.6,9.9,2.3,39.2,14.2
Mumbai,India,2020-10-06,169.1,105.7,178.8,2.9,20.1,40.6,13.2,12.6,79.9,5.9
Johannesburg,South Africa,2022-04-02,65.6,,50.2,1.18,7.8,41.4,8.2,7.4,43.4,9.8
Paris,France,2020-05-21,41.8,28.0,46.6,2.4,8.9,30.0,4.7,11.3,87.3,2.9
Cairo,Egypt,2023-02-24,117.2,59.7,108.2,4.16,19.1,67.9,17.2,33.6,28.8,11.2
Johannesburg,South Africa,2023-06-15,92.7,64.6,105.9,0.88,22.7,39.4,13.9,39.1,69.2,2.4
Karachi,Pakistan,2019-04-10,154.9,79.6,157.7,1.88,24.7,75.1,9.5,29.2,94.1,13.6
Tehran,Iran,2020-03-14,156.8,77.5,114.5,4.15,43.3,51.5,11.7,0.1,26.5,10.9
Lahore,Pakistan,2019-09-12,177.5,81.2,140.4,,38.2,64.3,23.2,,39.0,1.0
Buenos Aires,Argentina,2021-05-08,77.6,33.5,51.0,0.32,18.3,30.0,9.0,39.6,25.5,1.6
Lahore,Pakistan,2022-01-07,159.9,81.3,109.5,3.89,29.1,65.6,22.4,5.5,,1.4
Paris,France,2021-03-07,61.0,36.3,69.4,0.3,8.2,43.4,5.4,5.2,48.6,2.4
Berlin,Germany,2019-04-15,39.1,15.8,25.3,0.43,11.5,27.6,4.7,38.8,82.0,10.6
São Paulo,Brazil,2017-09-06,122.4,85.0,147.4,2.93,27.6,52.0,13.9,15.2,36.4,2.2
Dhaka,Bangladesh,2023-03-03,124.0,80.3,108.5,1.36,30.5,55.9,7.0,34.5,85.8,5.3
Lagos,Nigeria,2019-07-14,125.8,57.3,77.7,1.43,32.6,22.1,13.6,39.8,84.2,8.1
Karachi,Pakistan,2018-08-20,180.4,78.4,107.1,4.58,42.2,69.8,24.9,20.7,58.8,6.7
Tehran,Iran,2021-10-21,174.9,92.8,170.8,3.13,48.7,46.6,19.4,23.4,64.4,10.7
Dhaka,Bangladesh,2020-01-21,146.0,75.3,123.5,3.37,42.4,56.0,18.2,17.8,67.6,1.5
Ho Chi Minh City,Vietnam,2020-04-20,130.9,53.9,92.9,4.56,19.3,48.2,12.4,16.3,66.7,7.3
Sydney,Australia,2022-08-28,109.5,61.5,116.6,0.53,29.2,70.6,8.6,,52.9,3.7
Wuhan,China,2018-10-18,138.9,57.4,85.8,4.14,21.8,69.1,14.3,34.6,63.1,0.9
Mexico City,Mexico,2019-02-26,88.7,46.7,74.2,4.57,21.5,56.5,7.2,32.1,91.6,12.4
Mumbai,India,2023-10-30,134.6,79.5,106.2,1.51,15.1,56.2,16.0,0.2,,7.1
Toronto,Canada,2021-12-07,33.7,21.1,28.4,0.68,5.8,76.5,3.9,25.5,47.1,9.1
Wuhan,China,2017-06-28,130.4,77.0,149.4,3.18,35.8,63.4,8.1,35.6,25.0,8.2
Mumbai,India,2021-04-24,179.0,87.4,143.4,3.01,19.5,27.4,19.0,10.4,74.7,10.0
São Paulo,Brazil,2021-05-13,73.8,44.8,71.8,3.46,11.4,38.4,9.5,15.1,79.9,12.4
São Paulo,Brazil,2023-11-18,76.0,37.7,64.3,2.04,16.7,62.3,9.0,11.9,32.5,6.7
Dhaka,Bangladesh,2021-10-04,199.3,133.0,205.0,1.03,20.9,58.7,22.7,10.3,25.4,6.4
Tokyo,Japan,2023-01-07,88.9,45.3,65.8,4.94,17.0,61.3,5.7,16.9,22.1,7.8
Mexico City,Mexico,2016-07-10,158.5,81.7,108.4,0.45,28.1,29.6,8.3,29.0,54.4,4.7
Karachi,Pakistan,2020-12-09,190.9,110.9,208.3,4.92,30.1,77.7,17.0,12.3,45.5,8.4
Karachi,Pakistan,2024-09-30,160.0,90.6,152.1,3.88,42.7,46.4,12.8,6.7,34.6,1.3
London,UK,2016-01-18,5.0,2.9,4.0,2.39,1.1,49.3,0.5,39.7,86.0,9.5
Ho Chi Minh City,Vietnam,2022-09-10,152.4,82.1,148.7,1.0,41.2,62.7,21.4,1.0,64.5,9.2
Lagos,Nigeria,2019-09-05,93.6,58.4,98.4,0.57,22.1,48.0,5.0,38.6,91.2,7.9
Tehran,Iran,2019-11-07,138.5,86.8,142.7,1.72,27.5,51.3,14.7,14.9,65.4,13.8
Berlin,Germany,2024-09-06,77.8,49.0,83.3,4.79,10.9,26.6,10.5,14.8,83.5,13.4
Berlin,Germany,2024-12-25,31.9,21.2,34.2,2.7,7.2,75.6,1.7,16.5,71.6,11.0
Lagos,Nigeria,2023-02-01,97.7,49.6,92.4,1.61,13.9,77.4,5.0,39.9,70.8,12.5
Jakarta,Indonesia,2016-06-25,97.6,39.5,71.7,4.22,24.2,28.6,12.2,29.6,69.4,11.6
Dhaka,Bangladesh,2016-06-30,152.0,83.0,112.5,2.22,27.6,24.0,12.9,-0.0,80.6,14.2
Beijing,China,2020-09-23,166.4,114.2,190.2,1.71,19.2,50.0,21.5,26.8,23.8,1.6
Los Angeles,USA,2021-02-09,25.1,12.1,22.6,4.67,4.5,74.4,2.1,16.4,37.0,9.8
Nairobi,Kenya,2022-09-29,57.1,33.2,51.4,3.34,7.1,73.3,5.7,15.2,63.9,9.6
Stockholm,Sweden,2016-10-21,5.0,3.1,5.8,4.08,1.1,51.2,0.3,29.9,40.4,7.7
London,UK,2024-03-15,68.5,30.1,52.5,0.56,17.1,39.1,3.4,18.0,23.5,4.5
Cairo,Egypt,2021-03-06,104.2,44.9,69.7,1.57,28.0,38.8,13.4,35.1,52.5,13.7
Sydney,Australia,2024-12-18,68.8,47.4,64.6,3.53,13.7,43.3,7.8,26.7,20.3,2.9
Nairobi,Kenya,2015-08-23,85.7,53.9,105.9,3.6,13.7,26.3,11.0,24.0,23.6,5.7
Sydney,Australia,2022-12-28,37.1,20.4,32.7,2.45,5.3,42.1,3.2,-2.6,77.6,6.5
Los Angeles,USA,2018-01-28,43.1,25.7,42.0,4.44,6.2,60.7,4.8,8.3,30.2,9.9
Toronto,Canada,2023-06-02,54.5,26.9,47.2,2.16,13.2,32.0,7.6,7.9,47.6,1.3
Lagos,Nigeria,2020-10-02,57.7,37.5,49.2,2.08,9.7,21.2,3.6,13.6,57.0,6.4
Tokyo,Japan,2023-11-28,63.6,30.5,55.2,4.42,6.9,43.9,8.0,15.5,40.0,3.7
São Paulo,Brazil,2022-07-08,86.9,36.8,57.7,2.03,11.9,46.1,7.2,10.4,75.4,3.7
Ho Chi Minh City,Vietnam,2020-08-21,162.9,65.2,98.5,3.34,48.0,70.8,8.5,35.4,78.7,11.8
Mumbai,India,2023-07-14,132.0,55.4,80.9,1.46,26.0,64.8,12.9,,91.8,14.2
Karachi,Pakistan,2020-01-22,145.1,101.2,170.2,4.83,16.7,41.9,10.5,3.8,30.6,9.5
Wuhan,China,2021-12-29,126.7,81.5,,2.12,29.7,35.6,10.7,36.3,41.8,7.3
Paris,France,2015-06-08,55.4,33.9,45.6,0.99,5.6,57.9,5.2,1.0,91.8,8.2
Paris,France,2022-08-15,108.7,46.0,68.6,4.09,20.9,52.8,10.1,-3.0,32.4,7.0
